id;Станция 
st45748336;Бунинская Аллея
st82035329;Улица Горчакова
st26941611;Бульвар Адмирала Ушакова
st10620942;Улица Скобелевская
st26753929;Улица Старокачаловская
st24880476;Лесопарковая
st64434032;Битцевский парк
st99655694;Алма-Атинская
st35409060;Красногвардейская
st93896107;Домодедовская
st93091783;Орехово
st56891816;Царицыно
st27502377;Кантемировская
st38125030;Каширская
st31799545;Коломенская
st05913742;Технопарк
st36742054;Автозаводская
st27666339;Павелецкая
st95170220;Новокузнецкая
st27293832;Театральная
st73532673;Тверская
st65666731;Маяковская
st61639901;Белорусская
st40976893;Динамо
st42301162;Аэропорт
st53051395;Сокол
st42116627;Войковская
st13506291;Водный стадион
st38713046;Речной вокзал
st11989360;Беломорская
st42492362;Ховрино
st08902769;Новоясеневская
st63576528;Ясенево
st15273483;Тёплый Стан
st18527214;Коньково
st67714913;Беляево
st25174961;Калужская
st02669553;Новые Черёмушки
st49043121;Профсоюзная
st26575751;Академическая
st37182397;Ленинский проспект
st65530962;Шаболовская
st09854720;Октябрьская
st33930128;Третьяковская
st43664663;Китай-город
st25772919;Тургеневская
st30779344;Сухаревская
st31355012;Проспект Мира
st06975965;Алексеевская
st72950287;ВДНХ
st31259398;Ботанический сад
st93131719;Свиблово
st56273671;Бабушкинская
st26948675;Медведково
st98849475;Коммунарка
st08046181;Ольховая
st25653595;Прокшино
st47991016;Филатов Луг
st07847823;Саларьево
st14824792;Румянцево
st06576402;Тропарёво
st84881329;Юго-Западная
st01330343;Проспект Вернадского
st10615625;Университет
st15485262;Воробьёвы горы
st62244479;Спортивная
st24372556;Фрунзенская
st63562705;Парк культуры
st09785959;Кропоткинская
st97628957;Библиотека имени Ленина
st79973142;Охотный Ряд
st37392265;Лубянка
st71967362;Чистые пруды
st93095765;Красные Ворота
st16809028;Комсомольская
st79163369;Красносельская
st82323711;Сокольники
st44556533;Преображенская площадь
st89300033;Черкизовская
st43942813;Бульвар Рокоссовского
st02963112;Щёлковская
st69472278;Первомайская
st95387045;Измайловская
st36264335;Партизанская
st64974676;Семёновская
st07434113;Электрозаводская
st42377778;Бауманская
st27003709;Курская
st97075371;Площадь Революции
st97447355;Арбатская
st88033734;Киевская
st90434513;Парк Победы
st46329297;Славянский бульвар
st05786744;Кунцевская
st55261951;Молодёжная
st26423483;Крылатское
st97440149;Строгино
st05010804;Мякинино
st58991941;Волоколамская
st98450921;Митино
st88640238;Пятницкое шоссе
st28176206;Алтуфьево
st19241529;Бибирево
st99850240;Отрадное
st79876972;Владыкино
st64456800;Петровско-Разумовская
st20821541;Тимирязевская
st97054999;Дмитровская
st43618334;Савёловская
st22563179;Менделеевская
st66212131;Цветной бульвар
st20386865;Чеховская
st53446417;Боровицкая
st29322650;Полянка
st78934871;Серпуховская
st35784298;Тульская
st38386919;Нагатинская
st08228301;Нагорная
st17146105;Нахимовский проспект
st12113512;Севастопольская
st04927476;Чертановская
st99715743;Южная
st82168372;Пражская
st86293103;Улица Академика Янгеля
st44270245;Аннино
st20757637;Бульвар Дмитрия Донского
